source_id,image_url
1,https://medex.com.bd/storage/images/packaging/celofen-100-mg-tablet-37314877309-i1-MLQRqnnaWPrVT3ja4PYp.webp
2,https://medex.com.bd/storage/images/packaging/flexi-100-mg-tablet-69326228048-i1-AnVPHWNqMVzEVpcdSxC8.webp
5,
6,
8,https://medex.com.bd/storage/images/packaging/ac-pr-100-mg-tablet-89967694552-i1-UwRTxbgyP6q2UEMQS2Cb.webp
9,https://medex.com.bd/storage/images/packaging/acebid-100-mg-tablet-74586698602-i1-3lbUWmjgZMrkLlZShtNQ.webp
11,
13,
14,https://medex.com.bd/storage/images/packaging/acecol-100-mg-tablet-3822732284-i1-Dx0WGzvaznEGOBMmLfl8.webp
15,
16,https://medex.com.bd/storage/images/packaging/acefenac-100-mg-tablet-24839449391-i1-K4EQ1fUM4Aq7ShozIDfi.webp
17,
18,
19,
20,
21,
22,
23,https://medex.com.bd/storage/images/packaging/aclo-100-mg-tablet-32451530352-i1-6CR3U84jm5559ogOaDLk.jpg
24,https://medex.com.bd/storage/images/packaging/aclonac-100-mg-tablet-90264254384-i1-f1iniGQan9sKvdzap6vR.webp
25,https://medex.com.bd/storage/images/packaging/aclopain-100-mg-tablet-294157282-i1-YdRp6ZoF9aM19SBQmFYP.jpg
26,
28,
29,
30,https://medex.com.bd/storage/images/packaging/apeclo-100-mg-tablet-94567597306-i1-CXHTloDpl50Ct9nyyvqX.webp
31,https://medex.com.bd/storage/images/packaging/apeclo-sr-200-mg-tablet-57698033677-i1-p6CGr7i6mZnfZcaYQrMm.jpg
32,https://medex.com.bd/storage/images/packaging/apitac-100-mg-tablet-24964593378-i1-QggtFY08cx4QcVKHYsDT.webp
33,https://medex.com.bd/storage/images/packaging/aros-100-mg-tablet-83823690870-bdGg6phTQ6.webp
34,https://medex.com.bd/storage/images/packaging/avenac-100-mg-tablet-47405770010-i1-96V8oSvA5RvPtdqihv03.webp
35,https://medex.com.bd/storage/images/packaging/ceclofen-100-mg-tablet-6547543899-i1-vvO9VVCcZQLjLIHc2B47.webp
36,
37,
40,https://medex.com.bd/storage/images/packaging/clof-100-mg-tablet-82281950158-QPcoevHPIb.webp
43,
44,
45,
46,https://medex.com.bd/storage/images/packaging/fixonac-100-mg-tablet-30697358376-i1-fUxMevHlC3S8DX7fApJH.jpg
47,https://medex.com.bd/storage/images/packaging/fleco-100-mg-tablet-14953277701-i1-kfGF5buKjqrLNE0IQpPQ.webp
48,https://medex.com.bd/storage/images/packaging/flexivan-100-mg-tablet-92803828298-i1-tRBkjgqbQ6RDBK10WTnz.webp
49,https://medex.com.bd/storage/images/packaging/flexivan-er-200-mg-tablet-31309498727-i1-4n102O8ENufKR9MN9A0o.webp
50,https://medex.com.bd/storage/images/packaging/freemax-100-mg-tablet-77976387023-i1-i3PY5V6qfPrVQy8Mbn6E.webp
54,
55,
56,https://medex.com.bd/storage/images/packaging/mervan-100-mg-tablet-49767512825-i1-s2XD8y1evlPxiepf90Pw.jpg
58,
59,https://medex.com.bd/storage/images/packaging/movex-100-mg-tablet-90909877703-i1-DgU0B8cRRv0oXjfWM0Dj.webp
60,
61,https://medex.com.bd/storage/images/packaging/noak-100-mg-tablet-8254328765-BlGSPneZbu.webp
62,https://medex.com.bd/storage/images/packaging/nofenac-100-mg-tablet-92719497963-i1-5gVGAX7Xt0aQeOWFvmtV.jpg
63,
64,
65,
66,
67,
71,
73,
77,
79,
81,
103,
105,
109,
110,
112,
114,
115,
122,
127,
128,
130,
141,
142,
143,
147,
148,
150,
151,
168,
169,
170,
171,
172,
175,
176,
180,
182,
184,
186,
188,
195,
196,
197,
198,
199,
200,
204,
205,
222,
226,
228,
231,
